FILO,CLASSE,ORDEM,FAMÍLIA,ESPÉCIES,Sigla,,PrnB,PrnC,PrnD
,,,,,Query,AAY92870.1,AAY92871.1,AAY92872.1,AAY92873.1
?,?,?,?,Thermobaculum terrenum ATCC BAA-798,,A,A,WP_012876209.1/WP_012876038.1/ACZ40946.1/WP_012874506.1/WP_012873965.1/WP_012875231.1,WP_012876755.1
Firmicutes,?,?,?,endosymbiont 'TC1' of Trimyema compressum,FB,A,A,WP_088369207.1/WP_088370504.1/,A
,?,?,?,Ndongobacter massiliensis Marseille-P3170,FB,A,A,WP_072513985.1,A
,Bacilli,Bacillales,?,Exiguobacterium sibiricum 255-15,FB,A,A,WP_012369643.1/WP_012370549.1/WP_012370630.1/WP_012371465.1/WP_012371031.1/WP_012370593.1,A
,Bacilli,Bacillales,Alicyclobacillaceae,Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446,FB,A,A,A,WP_012811331.1
,Bacilli,Bacillales,Alicyclobacillaceae,Kyrpidia tusciae DSM 2912,FB,A,A,WP_123809205.1/ADG05265.1,WP_041304809.1/ADG05343.1/WP_013076462.1/WP_013075181.1/SRX95282.1/ADG06756.1/WP_041304119.1
,Bacilli,Bacillales,Bacillaceae,Amphibacillus xylanus NBRC 15112,FB,A,A,WP_015009923.1/WP_015010041.1/WP_015010916.1/WP_015009619.1,A
,Bacilli,Bacillales,Bacillaceae,Anoxybacillus amylolyticus DSM 15939,FB,A,A,WP_131874272.1/WP_131873559.1/WP_011232490.1/WP_011232309.1/WP_084256485.1,A
,Bacilli,Bacillales,Bacillaceae,Anoxybacillus gonensis G2,FB,A,A,KGP59588.1/AKS38569.1/KGP59569.1/KGP61399.1/KGP60459.1/KGP61274.1/KGP60901.1/KGP61036.1,A
,Bacilli,Bacillales,Bacillaceae,[Bacillus thuringiensis] serovar konkukian str. 97-27,FB,A,A,YP_036573.1/YP_037593.1/YP_035544.1/YP_039473.1/YP_037824.1/YP_037549.1/YP_034985.1/YP_034683.1/YP_038754.1,A
,Bacilli,Bacillales,Bacillaceae,[Bacillus] selenitireducens MLS10,FB,A,A,ADH98706.1/ADH99538.1/ADH99728.1/ADH97714.1/ADH97817.1/ADH98239.1,A
,Bacilli,Bacillales,Bacillaceae,Bacillus amyloliquefaciens DSM 7,FB,A,A,WP_004392959.1/CBI42253.1/WP_013353236.1,WP_013350960.1
,Bacilli,Bacillales,Bacillaceae,Bacillus anthracis str. Ames,FB,A,A,WP_000787579.1/WP_000445390.1/WP_001049187.1/WP_000541039.1/WP_000272384.1/WP_000653896.1/WP_000335186.1/WP_000199947.1/WP_000558885.1,A
,Bacilli,Bacillales,Bacillaceae,Bacillus anthracis str. Sterne,FB,A,A,AJH44536.1/WP_000653896.1/WP_000199947.1,A
,Bacilli,Bacillales,Bacillaceae,Bacillus atrophaeus SRCM101359,FB,A,A,ARW06236.1/ARW09104.1/ARW07933.1,A
,Bacilli,Bacillales,Bacillaceae,Bacillus beveridgei MLTeJB,FB,A,A,AOM82050.1/AOM82714.1/AOM83487.1/AOM81751.1/AOM84520.1/AOM82110.1/AOM83905.1,A
,Bacilli,Bacillales,Bacillaceae,Bacillus cellulosilyticus DSM 2522,FB,A,A,WP_013489957.1/WP_013488364.1/WP_013487641.1/WP_013487876.1,WP_013487490.1/WP_013490331.1
,Bacilli,Bacillales,Bacillaceae,Bacillus cereus ATCC 14579,FB,A,A,WP_000713010.1/WP_000333314.1/WP_000365630.1/WP_000558868.1/BAL18789.1/CAB69801.1/WP_000653868.1/WP_000272405.1/WP_000199987.1/WP_000541063.1/WP_011109931.1,A
,Bacilli,Bacillales,Bacillaceae,Bacillus clausii KSM-K16,FB,A,A,WP_011245133.1/WP_011246148.1/WP_011247647.1/WP_011247708.1,WP_011246466.1
,Bacilli,Bacillales,Bacillaceae,Bacillus coagulans DSM 1 = ATCC 7050,FB,A,A,WP_029142655.1/WP_029142108.1/AJH78318.1/WP_029142640.1/WP_013858686.1,A
,Bacilli,Bacillales,Bacillaceae,Bacillus cytotoxicus NVH 391-98,FB,A,A,WP_012094309.1/WP_011983457.1/WP_012095831.1/WP_012096468.1/WP_011983720.1,A
,Bacilli,Bacillales,Bacillaceae,Bacillus flexus KLBMP 4941,FB,A,A,AQX54800.1/AQX55522.1/AQX55974.1,AQX55722.1
,Bacilli,Bacillales,Bacillaceae,Bacillus glycinifermentans BGLY,FB,A,A,SCA84976.1/SCA87374.1/SCA88557.1/SCA84224.1,A
,Bacilli,Bacillales,Bacillaceae,Bacillus horikoshii 20a,FB,A,A,ART78675.1/ART75584.1/ART76577.1/ART74775.1/ART78358.1/ART78479.1/ART75634.1/ART75391.1,A
