FILO,CLASSE,ORDEM,FAMÍLIA,ESPÉCIES,Sigla,,PrnB,PrnC,PrnD
,,,,,Query,AAY92870.1,AAY92871.1,AAY92872.1,AAY92873.1
,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus caldus ATCC 51756,,A,A,A,WP_082179249.1/WP_004871570.1
,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus ferrivorans SS3,,A,A,WP_014030155.1/WP_014029582.1/WP_014029126.1/WP_041650060.1/WP_014029772.1/WP_014027583.1,WP_014029449.1/WP_014028957.1
,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus ferrooxidans ATCC 23270,,A,A,WP_012606492.1,WP_012536301.1/ACK80769.1
,Oligoflexia,Bacteriovoracales,Halobacteriovoraceae,Halobacteriovorax marinus SJ,,A,A,CBW25815.1/WP_044557287.1/WP_014245694.1/WP_014243174.1/WP_014244088.1/WP_014244077.1/WP_014243363.1/WP_014244528.1/CBW27001.1/WP_044558074.1,WP_014244413.1/WP_014244410.1/WP_044558010.1/CBW26625.1
,Oligoflexia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio bacteriovorus HD100,,WP_011163883.1,A,WP_011163944.1/WP_011166082.1/WP_011164679.1/WP_011162919.1,WP_011165643.1/WP_011163926.1
,Oligoflexia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio bacteriovorus W,,A,A,WP_025306945.1/WP_025308741.1/WP_025308667.1/WP_025307029.1/WP_025307315.1,WP_025309081.1
,Oligoflexia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio exovorus JSS,,A,A,WP_015469406.1/WP_015470523.1,WP_015469343.1
δ-proteobacteria,Deltaproteobacteria,Desulfarculales,Desulfarculaceae,Desulfarculus baarsii DSM 2075,DT,A,A,WP_013258327.1/WP_013259802.1/WP_013259031.1,A
,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfobacterium autotrophicum HRM2 ,DT,A,A,WP_015904934.1/WP_015904758.1/WP_015906443.1/WP_012662813.1/WP_041273078.1/WP_015904516.1/WP_012662852.1/WP_015904136.1/WP_015905716.1,A
,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfobacula toluolica Tol2,DT,A,A,WP_014959171.1/WP_014957612.1/WP_014956672.1/CCK82296.1/WP_014958254.1/WP_014958216.1/WP_014957292.1/WP_014955970.1/WP_014958201.1/WP_014958247.1/WP_041279491.1/CCK80579.1,A
,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfococcus multivorans DSM 2059,DT,A,A,WP_020876806.1/WP_020877727.1/WP_020875845.1/WP_020875849.1/WP_020877373.1,A
,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfococcus oleovorans Hxd3,DT,A,A,WP_012175768.1/WP_012175820.1/WP_012174428.1/WP_012174932.1,A
,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfobulbus propionicus DSM 2032,DT,A,A,ADW17891.1/ADW18054.1/ADW18803.1/ADW18333.1/ADW18491.1/ADW17792.1,A
,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfocapsa sulfexigens DSM 10523,DT,A,A,WP_015405189.1/WP_015403311.1/WP_015405477.1/WP_015403909.1/WP_015404266.1/WP_015403598.1/WP_015404204.1,A
,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfotalea psychrophila LSv54,DT,A,A,CAG36589.1/WP_083818962.1/WP_011187735.1/WP_011189379.1/WP_011189647.1/WP_011189377.1/WP_011188054.1/WP_011189489.1/WP_041277646.1,A
,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfurivibrio alkaliphilus AHT 2,DT,A,A,WP_013163362.1/WP_013162389.1,A
,Deltaproteobacteria,Desulfovibrionales,Desulfohalobiaceae,Desulfohalobium retbaense DSM 5692 ,DT,A,A,WP_015751896.1/WP_015751716.1/WP_015750876.1/WP_015751362.1/WP_015750648.1,A
,Deltaproteobacteria,Desulfovibrionales,Desulfomicrobiaceae,Desulfomicrobium baculatum DSM 4028 ,DT,A,A,WP_015774067.1/WP_015773936.1/WP_012805245.1,A
,Deltaproteobacteria,Desulfovibrionales,Desulfomicrobiaceae,Desulfomicrobium orale DSM 12838,DT,A,A,WP_066603876.1/WP_066604797.1,A
,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio africanus str. Walvis Bay,DT,A,A,WP_014261550.1/WP_014259953.1/WP_014260464.1/WP_014260882.1/WP_014260347.1/WP_014259079.1/WP_014261009.1,A
,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio alaskensis G20,DT,A,A,WP_011367489.1/WP_081428119.1/ABB38986.1/WP_011366593.1/WP_011367221.1/WP_011367429.1,A
,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio desulfuricans ATCC 27774,DT,A,A,WP_012624934.1/WP_012624439.1/WP_012625554.1,A
